#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 21:19:32.945
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.06543815789473685,0.1739609712106592,-0.01592630814737384
-0.06541315789473684,0.1682495757838184,-0.02162742020281449
-0.06538815789473684,0.1628741447938553,-0.02665781319290488
-0.06536315789473685,0.1571627493670169,-0.03235892524834323
-0.06533815789473685,0.1514513539401786,-0.03738931823843591
-0.06531315789473685,0.1457399585133402,-0.04275507076120142
-0.06528815789473684,0.1396925986496261,-0.04879154234931538
-0.06526315789473684,0.1333092743490449,-0.05482801393742383
-0.06523815789473685,0.1269259500484609,-0.06119984505820788
-0.06521315789473685,0.1205426257478768,-0.06790703571166477
-0.06518815789473685,0.1138233370104199,-0.07427886683244882
-0.06516315789473684,0.1074400127098327,-0.08065069795323578
-0.06513815789473684,0.1003847595355061,-0.08702252907401692
-0.06511315789473685,0.09366547079804921,-0.09305900066212813
-0.06508815789473685,0.08728214649746516,-0.09909547225023933
-0.06506315789473685,0.08056285776000824,-0.1047965843056777
-0.06503815789473684,0.07384356902254814,-0.1111684154264645
-0.06501315789473684,0.06678831584822159,-0.1172048870145729
-0.06498815789473684,0.05939709823701901,-0.1239120776680298
-0.06496315789473685,0.05301377393643495,-0.129948549256141
-0.06493815789473685,0.04595852076210521,-0.1363203803769251
-0.06491315789473684,0.03957519646151794,-0.142356851965039
-0.06488815789473684,0.03251994328719141,-0.1483933235531475
-0.06486315789473684,0.02613661898660734,-0.1540944356085859
-0.06483815789473685,0.01975329468602329,-0.1594601881313514
-0.06481315789473685,0.01370593482231208,-0.1648259406541169
-0.06478815789473684,0.006650681647979121,-0.1705270527095578
-0.06476315789473684,-0.000404571526347417,-0.1762281647649936
-0.06473815789473684,-0.006787895826931473,-0.1815939172877591
-0.06471315789473685,-0.01384314900126122,-0.1869596698105246
-0.06468815789473685,-0.02056243773871812,-0.1923254223332901
-0.06466315789473684,-0.02728172647617793,-0.1973558153233849
-0.06463815789473684,-0.03366505077675908,-0.2020508487808026
-0.06461315789473684,-0.04038433951421598,-0.2067458822382225
-0.06458815789473685,-0.04676766381480004,-0.2117762752283152
-0.06456315789473685,-0.05382291698912978,-0.2168066682184078
-0.06453815789473685,-0.06087817016345633,-0.2228431398065163
-0.06451315789473684,-0.06826938777466213,-0.2285442518619574
-0.06448815789473684,-0.07532464094899188,-0.2342453639173958
-0.06446315789473685,-0.08204392968644877,-0.2399464759728341
-0.06443815789473685,-0.08876321842390567,-0.2446415094302539
-0.06441315789473685,-0.09514654272448685,-0.2493365428876716
-0.06438815789473684,-0.1011939025882009,-0.2526901382144022
-0.06436315789473684,-0.1069052980150393,-0.2560437335411306
-0.06433815789473685,-0.111944764568132,-0.2583912502698406
-0.06431315789473685,-0.1169842311212247,-0.2607387669985505
-0.06428815789473685,-0.1226956265480604,-0.2640923623252774
-0.06426315789473684,-0.1290789508486471,-0.2677813171846802
-0.06423815789473684,-0.1354622751492311,-0.2721409911094272
-0.06421315789473685,-0.1418455994498152,-0.2771713840995199
-0.06418815789473685,-0.1482289237503993,-0.2822017770896125
-0.06416315789473685,-0.1552841769247258,-0.2879028891450483
-0.06413815789473684,-0.1613315367884402,-0.2925979226024707
-0.06411315789473684,-0.1677148610890243,-0.2979636751252362
-0.06408815789473685,-0.1737622209527355,-0.3019879895173104
-0.06406315789473685,-0.1798095808164467,-0.3056769443767117
-0.06403815789473685,-0.1858569406801552,-0.309701258768784
-0.06401315789473684,-0.1915683361069963,-0.3127194945628414
-0.06398815789473684,-0.1972797315338346,-0.3160730898895698
-0.06396315789473685,-0.2033270913975458,-0.3197620447489711
